Seleçao,Descrição,Código,Matriz,Estado,Marca,Preço,Desconto Normal,Desconto Gradual
,Espumante Espumante Alud Branco 750Ml,3011,CASTASSP,Habilitado,,"35,90",,
,Espumante Espumante Alud Rose 750Ml,3063,CASTASSP,Habilitado,,"35,90",,
,Vinho Adega Da Serra Tinto 750Ml,2914,CASTASSP,Desabilitado,,"32,90",,
,Vinho Adele Branco 750Ml,2917,CASTASSP,Habilitado,,"56,90",,
,Vinho Adele Rose 750Ml,2916,CASTASSP,Habilitado,,"56,90",,
,Vinho Adele Tinto 750Ml,2918,CASTASSP,Desabilitado,,"36,90",,
,Vinho Branco Cala De Poeti Bianco 750Ml,3126,CASTASSP,Habilitado,,"45,90",,
,Vinho Chao Do Conde Colheita Branco750Ml,2906,CASTASSP,Habilitado,,"45,90",,
,Vinho Chao Do Conde Colheita Rose 750Ml,2891,CASTASSP,Habilitado,,"45,90",,
,Vinho Chao Do Conde Colheita Tinto 750Ml,2892,CASTASSP,Habilitado,,"45,90",,
,Vinho Chao Do Conde Privado Branco 750Ml,2890,CASTASSP,Habilitado,,"36,90",,
,Vinho Chao Do Conde Privado Tinto 750Ml,2889,CASTASSP,Habilitado,,"36,90",,
,Vinho Chao Do Conde Reserva Branco 750Ml,2888,CASTASSP,Habilitado,,"57,90",,
,Vinho Chao Do Conde Reserva Tinto 750Ml,2887,CASTASSP,Habilitado,,"57,90",,
,Vinho Collemare Neo Sicily 750Ml,3022,CASTASSP,Habilitado,,"66,90",,
,Vinho Comassi Primitivo Puglia 750Ml,3124,CASTASSP,Habilitado,,"60,90",,
,Vinho Foodkiller Cab. Sauv. 750Ml,2927,CASTASSP,Habilitado,,"41,90",,
,Vinho Foodkiller Cab. Sauv./ Merlot,2926,CASTASSP,Habilitado,,"41,90",,
,Vinho Foodkiller Carmenere 750Ml,2928,CASTASSP,Habilitado,,"41,90",,
,Vinho Foodkiller Chardonnay 750Ml,2929,CASTASSP,Habilitado,,"41,90",,
,Vinho Gravedad Cab. Sauv.,2925,CASTASSP,Habilitado,,"31,90",,
,Vinho Gravedad Cab. Sauv./ Carmenere,2922,CASTASSP,Habilitado,,"31,90",,
,Vinho Gravedad Carmenere 750Ml,2924,CASTASSP,Habilitado,,"31,90",,
,Vinho Gravedad Sauv. Blanc 750Ml,2923,CASTASSP,Habilitado,,"31,90",,
,Vinho Horizonte Branco 750Ml,2844,CASTASSP,Habilitado,,"44,90",,
,Vinho Horizonte Rose 750Ml,2845,CASTASSP,Habilitado,,"44,90",,
,Vinho Horizonte Tinto 750Ml,2846,CASTASSP,Habilitado,,"44,90",,
,Vinho Humb. Canale Denario Cab. Sauv. 750Ml,2894,CASTASSP,Habilitado,,"61,90",,
,Vinho Humb. Canale Denario Malbec 750Ml,2893,CASTASSP,Habilitado,,"87,90",,
,Vinho Humb. Canale Denario Sauv. Blanc,2895,CASTASSP,Habilitado,,"87,90",,
,Vinho Las Colinas Cab. Sauv. 750Ml,2936,CASTASSP,Habilitado,,"37,90",,
,Vinho Las Colinas Carmenere 750Ml,2937,CASTASSP,Habilitado,,"37,90",,
,Vinho Las Colinas Red Blend,2943,CASTASSP,Habilitado,,"32,90",,
,Vinho Las Colinas Sauv. Blanc 750Ml,2938,CASTASSP,Habilitado,,"37,90",,
,Vinho Maxime Branco 750Ml,2263,CASTASSP,Habilitado,,"64,90",,
,Vinho Maxime Rose 750Ml,2874,CASTASSP,Habilitado,,"64,90",,
,Vinho Maxime Tinto 750Ml,2875,CASTASSP,Habilitado,,"64,90",,
,Vinho Mov Branco,2981,CASTASSP,Habilitado,,"26,90",,
,Vinho Mov Tinto,2982,CASTASSP,Habilitado,,"26,90",,
,Vinho Pacheca Doc Douro Branco 750Ml,2516,CASTASSP,Habilitado,,"75,90",,
,Vinho Pacheca Doc Douro Rose  750Ml,2517,CASTASSP,Habilitado,,"75,90",,
,Vinho Pacheca Doc Douro Tinto 750Ml,2518,CASTASSP,Habilitado,,"75,90",,
,Vinho Punta De Lobos Reserva Cab. Sauv. 750Ml,2930,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Carmenere 750Ml,2931,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Chardonnay 750Ml,2935,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Malbec 750Ml,2932,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Merlot 750Ml,2933,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Sauv. Blanc 750Ml,2934,CASTASSP,Habilitado,,"66,90",,
,Vinho Rose Cala De Poeti Rosato 750Ml,3127,CASTASSP,Habilitado,,"45,90",,
,Vinho Villa Rosa Branco 750Ml,2613,CASTASSP,Habilitado,,"32,90",,
,Vinho Villa Rosa Branco Escolha 750Ml,3023,CASTASSP,Desabilitado,,"41,90",,
,Vinho Villa Rosa Branco Privado 750Ml,3026,CASTASSP,Desabilitado,,"55,90",,
,Vinho Villa Rosa Colheita Tinto 375Ml,2704,CASTASSP,Habilitado,,"39,90",,
,Vinho Villa Rosa Frisante Branco,4067,CASTASSP,Habilitado,,"35,90",,
,Vinho Villa Rosa Frisante Rose,4068,CASTASSP,Habilitado,,"35,90",,
,Vinho Villa Rosa Rose 750Ml,2703,CASTASSP,Habilitado,,"32,90",,
,Vinho Villa Rosa Rose Escolha 750Ml,3025,CASTASSP,Desabilitado,,"41,90",,
,Vinho Villa Rosa Tinto 750Ml,2614,CASTASSP,Habilitado,,"32,90",,
,Vinho Villa Rosa Tinto Escolha 750Ml,3024,CASTASSP,Desabilitado,,"41,90",,
,Vinho Villa Rosa Tinto Privado 750Ml,3027,CASTASSP,Desabilitado,,"55,90",,
,Vinho Vino Rosso Loggia Delle Sassaie 750Ml,3125,CASTASSP,Habilitado,,"36,90",,
,Espumante Espumante Alud Branco 750Ml,3011,CASTASRJ,Habilitado,,"36,90",,
,Espumante Espumante Alud Rose 750Ml,3063,CASTASRJ,Habilitado,,"36,90",,
,Vinho Adega Da Serra Tinto 750Ml,2914,CASTASRJ,Desabilitado,,"37,90",,
,Vinho Adele Branco 750Ml,2917,CASTASRJ,Habilitado,,"53,90",,
,Vinho Adele Rose 750Ml,2916,CASTASRJ,Habilitado,,"53,90",,
,Vinho Adele Tinto 750Ml,2918,CASTASRJ,Desabilitado,,"53,90",,
,Vinho Branco Cala De Poeti Bianco 750Ml,3126,CASTASRJ,Habilitado,,"29,90",,
,Vinho Chao Do Conde Colheita Branco750Ml,2906,CASTASRJ,Habilitado,,"41,90",,
,Vinho Chao Do Conde Colheita Rose 750Ml,2891,CASTASRJ,Habilitado,,"41,90",,
,Vinho Chao Do Conde Colheita Tinto 750Ml,2892,CASTASRJ,Habilitado,,"41,90",,
,Vinho Chao Do Conde Privado Branco 750Ml,2890,CASTASRJ,Habilitado,,"35,90",,
,Vinho Chao Do Conde Privado Tinto 750Ml,2889,CASTASRJ,Habilitado,,"35,90",,
,Vinho Chao Do Conde Reserva Branco 750Ml,2888,CASTASRJ,Habilitado,,"54,90",,
,Vinho Chao Do Conde Reserva Tinto 750Ml,2887,CASTASRJ,Habilitado,,"54,90",,
,Vinho Collemare Neo Sicily 750Ml,3022,CASTASRJ,Habilitado,,"41,90",,
,Vinho Comassi Primitivo Puglia 750Ml,3124,CASTASRJ,Habilitado,,"49,90",,
,Vinho Foodkiller Cab. Sauv. 750Ml,2927,CASTASRJ,Habilitado,,"41,90",,
,Vinho Foodkiller Cab. Sauv./ Merlot,2926,CASTASRJ,Habilitado,,"41,90",,
,Vinho Foodkiller Carmenere 750Ml,2928,CASTASRJ,Habilitado,,"41,90",,
,Vinho Foodkiller Chardonnay 750Ml,2929,CASTASRJ,Habilitado,,"41,90",,
,Vinho Gravedad Cab. Sauv.,2925,CASTASRJ,Habilitado,,"24,90",,
,Vinho Gravedad Cab. Sauv./ Carmenere,2922,CASTASRJ,Habilitado,,"24,90",,
,Vinho Gravedad Carmenere 750Ml,2924,CASTASRJ,Habilitado,,"24,90",,
,Vinho Gravedad Sauv. Blanc 750Ml,2923,CASTASRJ,Habilitado,,"23,90",,
,Vinho Horizonte Branco 750Ml,2844,CASTASRJ,Habilitado,,"23,90",,
,Vinho Horizonte Rose 750Ml,2845,CASTASRJ,Habilitado,,"23,90",,
,Vinho Horizonte Tinto 750Ml,2846,CASTASRJ,Habilitado,,"23,90",,
,Vinho Humb. Canale Denario Cab. Sauv. 750Ml,2894,CASTASRJ,Habilitado,,"54,90",,
,Vinho Humb. Canale Denario Malbec 750Ml,2893,CASTASRJ,Habilitado,,"54,90",,
,Vinho Humb. Canale Denario Sauv. Blanc,2895,CASTASRJ,Habilitado,,"54,90",,
,Vinho Las Colinas Cab. Sauv. 750Ml,2936,CASTASRJ,Habilitado,,"32,90",,
,Vinho Las Colinas Carmenere 750Ml,2937,CASTASRJ,Habilitado,,"32,90",,
,Vinho Las Colinas Red Blend,2943,CASTASRJ,Habilitado,,"26,90",,
,Vinho Las Colinas Sauv. Blanc 750Ml,2938,CASTASRJ,Habilitado,,"32,90",,
,Vinho Maxime Branco 750Ml,2263,CASTASRJ,Habilitado,,"54,90",,
,Vinho Maxime Rose 750Ml,2874,CASTASRJ,Habilitado,,"54,90",,
,Vinho Maxime Tinto 750Ml,2875,CASTASRJ,Habilitado,,"54,90",,
,Vinho Mov Branco,2981,CASTASRJ,Habilitado,,"21,90",,
,Vinho Mov Tinto,2982,CASTASRJ,Habilitado,,"21,90",,
,Vinho Pacheca Doc Douro Branco 750Ml,2516,CASTASRJ,Habilitado,,"66,90",,
,Vinho Pacheca Doc Douro Rose  750Ml,2517,CASTASRJ,Habilitado,,"66,90",,
,Vinho Pacheca Doc Douro Tinto 750Ml,2518,CASTASRJ,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Cab. Sauv. 750Ml,2930,CASTASRJ,Habilitado,,"64,90",,
,Vinho Punta De Lobos Reserva Carmenere 750Ml,2931,CASTASRJ,Habilitado,,"64,90",,
,Vinho Punta De Lobos Reserva Chardonnay 750Ml,2935,CASTASRJ,Habilitado,,"64,90",,
,Vinho Punta De Lobos Reserva Malbec 750Ml,2932,CASTASRJ,Habilitado,,"64,90",,
,Vinho Punta De Lobos Reserva Merlot 750Ml,2933,CASTASRJ,Habilitado,,"64,90",,
,Vinho Punta De Lobos Reserva Sauv. Blanc 750Ml,2934,CASTASRJ,Habilitado,,"64,90",,
,Vinho Rose Cala De Poeti Rosato 750Ml,3127,CASTASRJ,Habilitado,,"28,90",,
,Vinho Villa Rosa Branco 750Ml,2613,CASTASRJ,Habilitado,,"23,90",,
,Vinho Villa Rosa Branco Escolha 750Ml,3023,CASTASRJ,Desabilitado,,"54,90",,
,Vinho Villa Rosa Branco Privado 750Ml,3026,CASTASRJ,Desabilitado,,,,
,Vinho Villa Rosa Colheita Tinto 375Ml,2704,CASTASRJ,Habilitado,,"34,90",,
,Vinho Villa Rosa Frisante Branco,4067,CASTASRJ,Habilitado,,"32,90",,
,Vinho Villa Rosa Frisante Rose,4068,CASTASRJ,Habilitado,,"32,90",,
,Vinho Villa Rosa Rose 750Ml,2703,CASTASRJ,Habilitado,,"23,90",,
,Vinho Villa Rosa Rose Escolha 750Ml,3025,CASTASRJ,Desabilitado,,,,
,Vinho Villa Rosa Tinto 750Ml,2614,CASTASRJ,Habilitado,,"23,50",,
,Vinho Villa Rosa Tinto Escolha 750Ml,3024,CASTASRJ,Desabilitado,,,,
,Vinho Villa Rosa Tinto Privado 750Ml,3027,CASTASRJ,Desabilitado,,,,
,Vinho Vino Rosso Loggia Delle Sassaie 750Ml,3125,CASTASRJ,Habilitado,,"33,60",,
,Espumante Espumante Alud Branco 750Ml,3011,CASTASMG,Habilitado,,"39,90",,
,Espumante Espumante Alud Rose 750Ml,3063,CASTASMG,Habilitado,,"39,10",,
,Vinho Adega Da Serra Tinto 750Ml,2914,CASTASMG,Desabilitado,,,,
,Vinho Adele Branco 750Ml,2917,CASTASMG,Habilitado,,"56,50",,
,Vinho Adele Rose 750Ml,2916,CASTASMG,Habilitado,,"56,50",,
,Vinho Adele Tinto 750Ml,2918,CASTASMG,Desabilitado,,,,
,Vinho Branco Cala De Poeti Bianco 750Ml,3126,CASTASMG,Habilitado,,"33,00",,
,Vinho Chao Do Conde Colheita Branco750Ml,2906,CASTASMG,Habilitado,,"40,40",,
,Vinho Chao Do Conde Colheita Rose 750Ml,2891,CASTASMG,Habilitado,,"40,40",,
,Vinho Chao Do Conde Colheita Tinto 750Ml,2892,CASTASMG,Habilitado,,"40,40",,
,Vinho Chao Do Conde Privado Branco 750Ml,2890,CASTASMG,Habilitado,,"34,80",,
,Vinho Chao Do Conde Privado Tinto 750Ml,2889,CASTASMG,Habilitado,,"34,80",,
,Vinho Chao Do Conde Reserva Branco 750Ml,2888,CASTASMG,Habilitado,,"62,70",,
,Vinho Chao Do Conde Reserva Tinto 750Ml,2887,CASTASMG,Habilitado,,"62,70",,
,Vinho Collemare Neo Sicily 750Ml,3022,CASTASMG,Habilitado,,"50,90",,
,Vinho Comassi Primitivo Puglia 750Ml,3124,CASTASMG,Habilitado,,"48,90",,
,Vinho Foodkiller Cab. Sauv. 750Ml,2927,CASTASMG,Habilitado,,"41,90",,
,Vinho Foodkiller Cab. Sauv./ Merlot,2926,CASTASMG,Habilitado,,"41,90",,
,Vinho Foodkiller Carmenere 750Ml,2928,CASTASMG,Habilitado,,"41,90",,
,Vinho Foodkiller Chardonnay 750Ml,2929,CASTASMG,Habilitado,,"41,90",,
,Vinho Gravedad Cab. Sauv.,2925,CASTASMG,Habilitado,,"32,20",,
,Vinho Gravedad Cab. Sauv./ Carmenere,2922,CASTASMG,Habilitado,,"32,20",,
,Vinho Gravedad Carmenere 750Ml,2924,CASTASMG,Habilitado,,"32,20",,
,Vinho Gravedad Sauv. Blanc 750Ml,2923,CASTASMG,Habilitado,,"32,20",,
,Vinho Horizonte Branco 750Ml,2844,CASTASMG,Habilitado,,"30,90",,
,Vinho Horizonte Rose 750Ml,2845,CASTASMG,Habilitado,,"30,90",,
,Vinho Horizonte Tinto 750Ml,2846,CASTASMG,Habilitado,,"30,90",,
,Vinho Humb. Canale Denario Cab. Sauv. 750Ml,2894,CASTASMG,Habilitado,,"61,90",,
,Vinho Humb. Canale Denario Malbec 750Ml,2893,CASTASMG,Habilitado,,"61,90",,
,Vinho Humb. Canale Denario Sauv. Blanc,2895,CASTASMG,Habilitado,,"61,90",,
,Vinho Las Colinas Cab. Sauv. 750Ml,2936,CASTASMG,Habilitado,,"61,90",,
,Vinho Las Colinas Carmenere 750Ml,2937,CASTASMG,Habilitado,,"41,60",,
,Vinho Las Colinas Red Blend,2943,CASTASMG,Habilitado,,"33,90",,
,Vinho Las Colinas Sauv. Blanc 750Ml,2938,CASTASMG,Habilitado,,"41,60",,
,Vinho Maxime Branco 750Ml,2263,CASTASMG,Habilitado,,"63,70",,
,Vinho Maxime Rose 750Ml,2874,CASTASMG,Habilitado,,"63,70",,
,Vinho Maxime Tinto 750Ml,2875,CASTASMG,Habilitado,,"63,70",,
,Vinho Mov Branco,2981,CASTASMG,Habilitado,,"28,90",,
,Vinho Mov Tinto,2982,CASTASMG,Habilitado,,"28,40",,
,Vinho Pacheca Doc Douro Branco 750Ml,2516,CASTASMG,Habilitado,,"79,20",,
,Vinho Pacheca Doc Douro Rose  750Ml,2517,CASTASMG,Habilitado,,"79,20",,
,Vinho Pacheca Doc Douro Tinto 750Ml,2518,CASTASMG,Habilitado,,"83,70",,
,Vinho Punta De Lobos Reserva Cab. Sauv. 750Ml,2930,CASTASMG,Habilitado,,"71,90",,
,Vinho Punta De Lobos Reserva Carmenere 750Ml,2931,CASTASMG,Habilitado,,"72,00",,
,Vinho Punta De Lobos Reserva Chardonnay 750Ml,2935,CASTASMG,Habilitado,,"71,90",,
,Vinho Punta De Lobos Reserva Malbec 750Ml,2932,CASTASMG,Habilitado,,"71,90",,
,Vinho Punta De Lobos Reserva Merlot 750Ml,2933,CASTASMG,Habilitado,,"71,90",,
,Vinho Punta De Lobos Reserva Sauv. Blanc 750Ml,2934,CASTASMG,Habilitado,,"71,90",,
,Vinho Rose Cala De Poeti Rosato 750Ml,3127,CASTASMG,Habilitado,,"33,00",,
,Vinho Villa Rosa Branco 750Ml,2613,CASTASMG,Habilitado,,"92,50",,
,Vinho Villa Rosa Branco Escolha 750Ml,3023,CASTASMG,Desabilitado,,,,
,Vinho Villa Rosa Branco Privado 750Ml,3026,CASTASMG,Desabilitado,,,,
,Vinho Villa Rosa Colheita Tinto 375Ml,2704,CASTASMG,Habilitado,,"61,60",,
,Vinho Villa Rosa Frisante Branco,4067,CASTASMG,Habilitado,,"35,90",,
,Vinho Villa Rosa Frisante Rose,4068,CASTASMG,Habilitado,,"35,90",,
,Vinho Villa Rosa Rose 750Ml,2703,CASTASMG,Habilitado,,"61,60",,
,Vinho Villa Rosa Rose Escolha 750Ml,3025,CASTASMG,Desabilitado,,,,
,Vinho Villa Rosa Tinto 750Ml,2614,CASTASMG,Habilitado,,"97,70",,
,Vinho Villa Rosa Tinto Escolha 750Ml,3024,CASTASMG,Desabilitado,,,,
,Vinho Villa Rosa Tinto Privado 750Ml,3027,CASTASMG,Desabilitado,,,,
,Vinho Vino Rosso Loggia Delle Sassaie 750Ml,3125,CASTASMG,Habilitado,,"33,00",,
,Espumante Espumante Alud Branco 750Ml,3011,CASTAES,Habilitado,,"39,90",,
,Espumante Espumante Alud Rose 750Ml,3063,CASTAES,Habilitado,,"36,90",,
,Vinho Adega Da Serra Tinto 750Ml,2914,CASTAES,Desabilitado,,"41,81",,
,Vinho Adele Branco 750Ml,2917,CASTAES,Habilitado,,"59,90",,
,Vinho Adele Rose 750Ml,2916,CASTAES,Habilitado,,"59,90",,
,Vinho Adele Tinto 750Ml,2918,CASTAES,Desabilitado,,,,
,Vinho Branco Cala De Poeti Bianco 750Ml,3126,CASTAES,Habilitado,,"41,90",,
,Vinho Chao Do Conde Colheita Branco750Ml,2906,CASTAES,Habilitado,,"51,90",,
,Vinho Chao Do Conde Colheita Rose 750Ml,2891,CASTAES,Habilitado,,"51,90",,
,Vinho Chao Do Conde Colheita Tinto 750Ml,2892,CASTAES,Habilitado,,"51,90",,
,Vinho Chao Do Conde Privado Branco 750Ml,2890,CASTAES,Habilitado,,"44,90",,
,Vinho Chao Do Conde Privado Tinto 750Ml,2889,CASTAES,Habilitado,,"44,90",,
,Vinho Chao Do Conde Reserva Branco 750Ml,2888,CASTAES,Habilitado,,"61,90",,
,Vinho Chao Do Conde Reserva Tinto 750Ml,2887,CASTAES,Habilitado,,"61,90",,
,Vinho Collemare Neo Sicily 750Ml,3022,CASTAES,Habilitado,,"64,80",,
,Vinho Comassi Primitivo Puglia 750Ml,3124,CASTAES,Habilitado,,"61,90",,
,Vinho Foodkiller Cab. Sauv. 750Ml,2927,CASTAES,Habilitado,,"39,90",,
,Vinho Foodkiller Cab. Sauv./ Merlot,2926,CASTAES,Habilitado,,"39,90",,
,Vinho Foodkiller Carmenere 750Ml,2928,CASTAES,Habilitado,,"39,90",,
,Vinho Foodkiller Chardonnay 750Ml,2929,CASTAES,Habilitado,,"39,90",,
,Vinho Gravedad Cab. Sauv.,2925,CASTAES,Habilitado,,"32,90",,
,Vinho Gravedad Cab. Sauv./ Carmenere,2922,CASTAES,Habilitado,,"32,90",,
,Vinho Gravedad Carmenere 750Ml,2924,CASTAES,Habilitado,,"32,90",,
,Vinho Gravedad Sauv. Blanc 750Ml,2923,CASTAES,Habilitado,,"32,90",,
,Vinho Horizonte Branco 750Ml,2844,CASTAES,Habilitado,,"36,90",,
,Vinho Horizonte Rose 750Ml,2845,CASTAES,Habilitado,,"36,90",,
,Vinho Horizonte Tinto 750Ml,2846,CASTAES,Habilitado,,"36,90",,
,Vinho Humb. Canale Denario Cab. Sauv. 750Ml,2894,CASTAES,Habilitado,,"59,90",,
,Vinho Humb. Canale Denario Malbec 750Ml,2893,CASTAES,Habilitado,,"59,90",,
,Vinho Humb. Canale Denario Sauv. Blanc,2895,CASTAES,Habilitado,,"59,90",,
,Vinho Las Colinas Cab. Sauv. 750Ml,2936,CASTAES,Habilitado,,"40,90",,
,Vinho Las Colinas Carmenere 750Ml,2937,CASTAES,Habilitado,,"40,90",,
,Vinho Las Colinas Red Blend,2943,CASTAES,Habilitado,,"32,90",,
,Vinho Las Colinas Sauv. Blanc 750Ml,2938,CASTAES,Habilitado,,"40,90",,
,Vinho Maxime Branco 750Ml,2263,CASTAES,Habilitado,,"59,90",,
,Vinho Maxime Rose 750Ml,2874,CASTAES,Habilitado,,"48,70",,
,Vinho Maxime Tinto 750Ml,2875,CASTAES,Habilitado,,"59,90",,
,Vinho Mov Branco,2981,CASTAES,Habilitado,,"30,90",,
,Vinho Mov Tinto,2982,CASTAES,Habilitado,,"30,90",,
,Vinho Pacheca Doc Douro Branco 750Ml,2516,CASTAES,Habilitado,,"69,90",,
,Vinho Pacheca Doc Douro Rose  750Ml,2517,CASTAES,Habilitado,,"69,90",,
,Vinho Pacheca Doc Douro Tinto 750Ml,2518,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Cab. Sauv. 750Ml,2930,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Carmenere 750Ml,2931,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Chardonnay 750Ml,2935,CASTAES,Habilitado,,"64,80",,
,Vinho Punta De Lobos Reserva Malbec 750Ml,2932,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Merlot 750Ml,2933,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Sauv. Blanc 750Ml,2934,CASTAES,Habilitado,,"69,90",,
,Vinho Rose Cala De Poeti Rosato 750Ml,3127,CASTAES,Habilitado,,"41,90",,
,Vinho Villa Rosa Branco 750Ml,2613,CASTAES,Habilitado,,"36,90",,
,Vinho Villa Rosa Branco Escolha 750Ml,3023,CASTAES,Desabilitado,,,,
,Vinho Villa Rosa Branco Privado 750Ml,3026,CASTAES,Desabilitado,,,,
,Vinho Villa Rosa Colheita Tinto 375Ml,2704,CASTAES,Habilitado,,"36,90",,
,Vinho Villa Rosa Frisante Branco,4067,CASTAES,Habilitado,,"22,90",,
,Vinho Villa Rosa Frisante Rose,4068,CASTAES,Habilitado,,"22,90",,
,Vinho Villa Rosa Rose 750Ml,2703,CASTAES,Habilitado,,"36,90",,
,Vinho Villa Rosa Rose Escolha 750Ml,3025,CASTAES,Desabilitado,,,,
,Vinho Villa Rosa Tinto 750Ml,2614,CASTAES,Habilitado,,"36,90",,
,Vinho Villa Rosa Tinto Escolha 750Ml,3024,CASTAES,Desabilitado,,,,
,Vinho Villa Rosa Tinto Privado 750Ml,3027,CASTAES,Desabilitado,,,,
,Vinho Vino Rosso Loggia Delle Sassaie 750Ml,3125,CASTAES,Habilitado,,"41,90",,
